service_id,date,exception_type
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230414,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230411,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230405,1
B_SEPT22-A05-Jeu-Ven-11-B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11,20230412,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230411,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230405,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230412,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230409,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230410,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230416,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230423,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230430,1
B_SEPT22-A05-Lun-Mar-14-B_SEPT22-A05-Mercredi-11-B_SEPT22-C07-Dimanche-00-B_SEPT22-D05-L-Ma-Me-00,20230417,1
